name,format,runs,balls,matches,innings
Ayush Mhatre,T20,5736,3669,159,147
Glenn Phillips,T20,1867,1171,103,47
Ruturaj Gaikwad,T20,6059,3973,174,142
Sanju Samson,T20,5133,3244,172,129
Yashvardhan Dalal,T20,2928,1769,122,74
Shivam Dube,T20,2130,1273,154,90
Ravindra Jadeja,T20,1362,937,164,68
Prashant Veer,T20,806,519,154,56
Wanindu Hasaranga,T20,242,219,91,25
Mitchell Starc,T20,361,284,140,32
Lungi Ngidi,T20,29,34,25,9
Rishabh Pant,T20,4631,2907,154,126
Harnoor Singh,T20,831,508,40,22
Suryakumar Yadav,T20,3234,2218,141,114
KL Rahul,T20,5156,3251,175,115
Aiden Markram,T20,3760,2428,167,106
Heinrich Klaasen,T20,1046,714,83,42
Yuzvendra Chahal,T20,133,113,74,13
Akeal Hosein,T20,392,355,147,43
Mohammed Shami,T20,130,135,144,21
Arjun Tendulkar,T20,134,125,50,12
Adam Zampa,T20,73,55,76,10
Abhishek Sharma,T20,5993,3311,166,148
Travis Head,T20,462,319,13,11
Ishan Kishan,T20,4904,2800,158,119
Kamindu Mendis,T20,73,45,14,5
Arshin Kulkarni,T20,42,33,3,2
Kranthi Kumar,T20,1255,825,90,33
Will Jacks,T20,706,430,87,29
Jofra Archer,T20,29,19,17,4
Jaydev Unadkat,T20,38,57,55,8
Anrich Nortje,T20,12,15,47,5
Avinov Choudhary,T20,138,136,100,17
Pathum Nissanka,T20,4841,3160,134,120
Prithvi Shaw,T20,120,98,8,8
Nitish Kumar Reddy,T20,232,147,36,13
Mukul Choudhary,T20,4422,2554,164,96
Sherfane Rutherford,T20,533,297,19,13
Tilak Varma,T20,2301,1532,135,61
Krunal Pandya,T20,735,547,114,35
Auqib Nabi,T20,92,115,71,15
Zeeshan Ansari,T20,27,35,13,4
Nandre Burger,T20,6,4,1,1
Mukesh Choudhary,T20,2,6,2,1
Vaibhav Suryavanshi,T20,3493,2026,96,81
Yashasvi Jaiswal,T20,3999,2337,106,87
Manish Pandey,T20,1622,1127,79,54
Dhruv Jurel,T20,1180,736,71,44
Jacob Bethell,T20,786,565,47,40
Donovan Ferreira,T20,260,172,40,21
Aniket Verma,T20,37,23,5,2
Marco Jansen,T20,1025,753,69,44
Kagiso Rabada,T20,52,62,89,11
Harshal Patel,T20,73,84,30,9
Ravi Bishnoi,T20,42,53,56,15
Jordan Cox,T20,1129,744,43,41
Rachin Ravindra,T20,1300,857,57,50
Karun Nair,T20,942,754,58,49
Washington Sundar,T20,2569,1675,128,116
Nehal Wadhera,T20,132,104,11,8
Ayush Badoni,T20,413,274,35,16
Corbin Bosch,T20,561,403,43,19
Pat Cummins,T20,469,355,113,41
T Natarajan,T20,163,109,20,7
Kartik Tyagi,T20,16,22,11,4
Prashant Solanki,T20,29,25,11,1
Finn Allen,T20,4633,2613,122,110
Angkrish Raghuvanshi,T20,393,347,21,17
Cameron Green,T20,4591,2781,166,130
Abdul Samad,T20,1105,758,68,56
Tristan Stubbs,T20,3517,2164,121,64
Rovman Powell,T20,741,437,38,18
Anukul Roy,T20,1352,887,120,56
Shardul Thakur,T20,248,187,78,23
Varun Chakravarthy,T20,251,250,137,28
Avesh Khan,T20,87,112,73,18
Vaibhav Arora,T20,23,27,44,6
Sai Sudharsan,T20,5373,3340,139,116
Virat Kohli,T20,5057,3414,160,135
Devdutt Padikkal,T20,3330,2075,129,102
Rinku Singh,T20,2408,1523,124,69
Sunil Narine,T20,871,627,113,54
Tim David,T20,1474,886,82,54
Liam Livingstone,T20,1266,843,102,51
Ramandeep Singh,T20,2427,1390,151,79
KC Cariappa,T20,300,199,58,17
Josh Hazlewood,T20,180,202,127,21
